x_acc;y_acc;z_acc
2.18305;2.4948;8.90413
2.21179;2.4901;8.88017
2.31719;2.4853;8.84185
2.51841;2.4469;8.78915
2.71005;2.4613;8.80352
2.83462;2.4948;8.90892
2.90648;2.4757;9.02869
2.94002;2.4134;9.10535
2.91127;2.3607;9.19638
2.86336;2.3415;9.22991
2.77713;2.3272;9.25866
2.6861;2.3319;9.28261
2.59028;2.3176;9.26345
2.55195;2.3272;9.20596
2.51362;2.3319;9.1293
2.50404;2.3463;9.04786
2.51841;2.3511;8.9712
2.528;2.3703;8.93287
2.55195;2.423;8.9185
2.55195;2.4709;8.89455
2.60465;2.5092;8.79394
2.70526;2.5284;8.63104
2.77713;2.5619;8.55439
2.82024;2.5907;8.56397
2.82504;2.6386;8.64063
2.81545;2.6529;8.74124
2.82983;2.629;8.79873
2.86815;2.5859;8.82268
2.89211;2.5475;8.85622
2.93044;2.5571;8.88017
2.96876;2.5667;8.8658
2.98793;2.6146;8.79394
3.08854;2.6721;8.70291
3.15561;2.7008;8.57355
3.23706;2.7104;8.44899
3.28018;2.7584;8.34359
3.35204;2.7727;8.31005
3.43349;2.7679;8.31963
3.51493;2.744;8.34838
3.57243;2.7344;8.39629
3.59159;2.7392;8.4442
3.60117;2.7344;8.45378
3.62033;2.744;8.4442
3.67304;2.7584;8.45378
3.76406;2.7727;8.4969
3.87426;2.7871;8.57355
3.97966;2.7967;8.67895
4.05631;2.8398;8.76998
4.10901;2.8494;8.7604
4.17129;2.8542;8.7604
4.19046;2.8398;8.80831
4.1665;2.8015;8.88976
4.1138;2.7727;8.93287
4.03236;2.7727;8.90413
4.01319;2.7727;8.85622
4.03236;2.8063;8.78915
4.05631;2.8446;8.65979
4.1138;2.8638;8.50648
4.1665;2.8733;8.40587
4.14255;2.95;8.34838
4.224;3.0171;8.37712
4.224;3.0027;8.45378
4.14734;2.9835;8.55918
4.05631;2.95;8.74124
4.02757;2.8781;9.0239
3.93654;2.8254;9.3449
3.83593;2.7679;9.61798
3.82155;2.6913;9.88628
3.82635;2.6817;10.1019
3.87426;2.6817;10.1785
3.95091;2.6481;10.2025
3.98445;2.6434;10.2216
4.03236;2.6386;10.2216
4.08027;2.6721;10.2073
4.1138;2.7104;10.1737
4.14734;2.7296;10.1114
4.20483;2.7392;10.0108
4.19046;2.811;9.91502
4.10422;2.8973;9.80483
4.03236;2.9548;9.6084
3.98924;2.95;9.30657
4.02757;2.9548;9.09577
4.1138;2.9548;9.00474
4.22879;2.9691;8.87538
4.40126;3.0314;8.655
4.54978;3.1177;8.42982
4.48271;3.2854;8.2861
4.47792;3.362;8.20465
4.50187;3.3189;8.1232
4.43001;3.3476;7.98906
4.36772;3.4099;7.76867
4.33419;3.4482;7.48122
4.31502;3.453;7.37102
4.36772;3.3955;7.48601
4.62164;3.1943;7.57703
4.73184;3.0554;7.74472
4.95701;2.7248;8.1232
5.00492;2.5763;8.68375
4.93306;2.4469;9.10056
4.88515;2.2697;9.29699
4.84203;2.1547;9.182
4.78454;2.1499;8.99037
4.80849;2.1355;8.75561
4.84682;2.1212;8.47773
4.92827;2.1164;8.1232
5.10553;2.0924;7.69681
5.37383;2.078;7.26083
5.60379;2.1164;6.86318
5.72356;2.1643;6.54219
5.87688;2.1978;6.19245
6.0781;2.2122;5.86187
6.24099;2.2409;5.58879
6.3943;2.2409;5.45464
6.43742;2.2457;5.34924
6.51886;2.2218;5.28217
6.67217;2.217;5.17676
6.74404;2.2553;5.00429
7.02191;2.4996;4.35272
7.33812;2.7104;2.2447
8.04239;2.514;3.91674
8.29631;2.7008;4.03652
8.5119;2.7967;3.92153
8.59335;2.8638;3.90237
8.34422;2.6961;3.95028
7.47706;2.399;2.98251
7.77889;2.5859;4.22336
8.01364;2.5859;5.07136
7.35728;2.6721;5.00908
6.89256;2.8973;5.64628
7.07941;2.3032;5.64628
7.47226;1.9343;5.64149
7.54892;2.0541;5.97685
7.40519;2.1834;6.35055
7.32854;2.2122;6.61884
7.41477;2.1068;6.70987
7.59204;2.0397;6.70987
7.73577;2.1116;6.57093
7.85075;2.2601;6.33618
8.0376;2.4086;6.02476
8.27715;2.5763;5.66544
8.39213;2.7248;5.29175
8.78978;2.8446;4.93243
9.05328;3.041;4.6785
9.12035;3.2518;4.6833
9.29762;3.2854;4.81265
9.50363;3.3237;4.87014
9.18743;2.859;4.15629
9.48926;2.9021;4.67371
9.90128;3.132;6.00081
9.72401;3.2854;6.67633
9.32636;3.5872;7.13147
9.00058;3.2374;7.11231
8.78978;2.5667;6.96379
8.37776;2.4517;6.86797
7.42915;2.2553;5.96727
7.05066;2.1451;5.99602
7.00754;2.1834;6.68592
7.09857;2.2218;6.99733
6.77278;2.2266;6.81048
6.73925;1.9678;6.91109
7.1896;2.1307;7.0117
9.49884;2.6529;9.92939
8.1957;2.423;8.94246
8.31068;2.538;8.49211
8.63647;2.8829;8.1232
8.69396;3.2087;7.23209
8.33464;3.5968;5.70856
7.24709;3.2183;3.98861
6.36076;2.7631;2.78129
6.15954;2.95;1.96682
5.79064;3.5393;1.68416
5.44569;3.8171;1.79435
5.33071;3.8171;2.00515
5.67086;3.3428;2.33094
6.54761;2.7008;2.99209
7.0315;2.4278;4.13713
7.2423;2.308;5.05699
7.52496;2.193;6.05351
7.53455;2.0684;6.32659
7.58246;2.0684;6.60926
7.73577;1.9822;6.65238
7.91782;1.9199;6.54219
7.98969;2.1068;6.54219
8.03281;2.3128;6.37929
8.17174;2.4326;5.97206
8.33464;2.6098;5.50734
8.3538;2.7536;5.13365
8.37296;2.8446;4.87493
8.7275;2.3607;4.61143
8.91434;2.011;4.93722
8.41608;2.7536;4.92763
8.32505;2.9212;4.85098
8.21965;2.9691;5.07615
7.89866;3.0219;5.33966
7.84117;2.8781;5.54567
7.52976;2.7919;6.23078
6.63385;2.6913;6.17807
7.14169;2.1355;6.47032
7.22793;1.9918;7.18418
7.1896;2.0732;7.2752
7.26625;2.1307;7.69202
7.29021;2.1499;7.85012
7.33333;2.1595;7.92198
7.37644;2.1164;7.84054
7.7693;2.1164;7.68244
6.9788;2.3272;8.30526
6.47095;1.8672;7.84533
7.22793;1.6564;8.14716
7.64953;1.9918;7.94594
6.9788;1.7858;7.22729
6.84465;2.2601;7.14106
7.1896;2.4038;6.84402
7.31895;2.5763;6.51823
6.77758;2.6002;6.06309
6.42784;2.3367;5.62232
6.37993;2.0828;4.9995
6.27452;2.0972;4.6785
6.01102;2.1691;4.42458
5.9152;2.1834;4.32877
6.0206;2.0349;4.35751
6.08768;1.9439;4.45333
6.0781;1.9151;4.55873
6.00623;1.805;4.70725
5.89125;1.7139;4.87014
5.6517;1.5894;5.04741
5.98228;1.3977;5.30133
7.50101;1.0719;5.6367
9.06286;1.3546;6.20203
8.73708;1.6612;6.59489
8.991;1.4983;6.47511
8.74666;1.5031;6.14933
8.57418;1.5606;5.84271
7.91782;1.6373;5.82354
7.24709;1.3929;5.80917
7.0315;1.0336;5.67982
6.66738;0.93299;5.44506
7.13211;0.74614;5.12406
7.14169;0.89945;4.50124
8.11425;1.2444;4.74079
8.91913;1.8001;4.92763
9.98752;2.0205;4.59227
10.457;2.0205;4.0461
10.9649;1.6085;3.71073
11.6739;1.1198;3.57659
